Product,Energy (kCal)
Blueberry Yogurt and Honey Muffin,380.0
Blueberry Scone,360.0
Cranberry Orange Scone,420.0
Pumpkin Cream Cheese Muffin,350.0
Pumpkin Bread,410.0
Pumpkin Scone,450.0
Apple Poundcake,360.0
Pumpkin Sugar Cookie,330.0
Pecan Tart,330.0
Greek Yogurt & Honey Parfait,310.0
Strawberry Blueberry Yogurt Parfait,310.0
Seasonal Fruit Cup,80.0
McVeggie™ Burger,402.05
McAloo Tikki Burger®,339.52
McSpicy™ Paneer Burger,652.76
Spicy Paneer Wrap,674.68
American Veg Burger,512.17
Veg Maharaja Mac,832.67
Green Chilli Aloo Naan,356.09
Pizza Puff,228.21
Mc chicken Burger,400.8
FILLET-O-FISH Burger,348.11
Mc Spicy Chicken Burger,451.92
Spicy Chicken Wrap,567.19
Chicken Maharaja Mac,689.12
American Chicken Burger,446.95
Chicken Kebab Burger,357.05
Green Chilli Kebab naan,230.95
Mc Egg Masala Burger,290.42
Mc Egg Burger for Happy Meal,282.98
Ghee Rice with Mc Spicy Fried Chicken 1 pc,720.3
McSpicy Fried Chicken 1 pc,248.76
4 piece Chicken McNuggets,169.68
6 piece Chicken McNuggets,254.52
9 piece Chicken McNuggets,381.77
2 piece Chicken Strips,164.44
3 piece Chicken Strips,246.65
5 piece Chicken Strips,411.09
Regular Fries,224.59
Medium Fries,317.92
Large Fries,449.17
Regular Wedges,204.65
Medium Wedges,280.05
Large Wedges,387.76
L1 Coffee,6.8
L1 Coffee with milk,35.8
Double Chocochips Muffin,341.68
Vanilla Chocochips Muffin,329.29
Veg McMuffin,309.35
Double Cheese McMuffin,273.78
Spicy Egg McMuffin,278.27
Sausage Mc Muffin,281.44
Sausage Mc Muffin with egg,290.42
Egg McMuffin,283.46
Hot Cake with maple syrup,432.98
Hash Brown,140.29
Espresso,12.87
Espresso Machiato,44.98
Americano (S),12.87
Americano (R),23.07
Americano (L),26.71
Cappuccino (S),125.25
Cappuccino (R),183.61
Cappuccino (L),219.36
Latte (S),147.72
Latte (R),190.03
Latte (L),232.2
Flat White (S),166.99
Flat White (R),215.72
Flat White (L),251.47
Mocha (S),185.85
Mocha (R),244.0
Mocha (L),302.02
Babycino,143.5
Hot Chocolate (S),239.42
Hot Chocolate (R),296.81
Hot Chocolate (L),383.29
Premium Dark Hot Chocolate,214.21
Double Dark Hot Chocolate,255.78
English Breakfast (S),9.93
English Breakfast (R),11.75
English Breakfast (L),16.23
Moroccon Mint Green Tea (S),6.25
Moroccon Mint Green Tea (R),7.39
Moroccon Mint Green Tea (L),10.21
Strawberry Green Tea (S),7.03
Strawberry Green Tea (R),8.32
Strawberry Green Tea (L),11.49
Lemon Ice Tea,121.86
Strawberry Ice Tea,94.95
Green Apple Ice Tea,94.94
Iced Coffee,185.34
Cold Coffee Frappe,331.17
Mocha Frappe,397.98
Chocolate Oreo Frappe,481.11
Strawberry Shake,255.51
Chocolate Shake,270.9
Mango Smoothie,231.44
Mixed Berry Smoothie,235.43
Raw Mango Cooler,102.38
Mix Berry Cooler,103.85
Sweet Lime Beverage,128.21
Iced Americano,150.85
American Mud Pie Shake,398.19
Soft serve cone,85.73
McSwirl ChocoDip,160.14
Regular Soft Serve: Hot Fudge,121.64
Medium Soft Serve: Hot Fudge,197.45
Regular Soft Serve: Strawberry,100.99
Medium Soft Serve: Strawberry,156.14
Regular Soft Serve: Brownie with Hot Fudge,205.26
Medium Soft Serve: Brownie with Hot Fudge,311.39
Regular Blackforest,237.89
Medium Blackforest,429.95
Small McFlurry - Oreo,116.36
Regular McFlurry - Oreo,209.39
American Triple Cheese Chicken,457.94
American Triple Cheese Veg,524.69
Cheese Lava Burger,671.06
Chicken Cheese Lava Burger,834.36
Chunky Chipotle American Burger Chicken,641.36
McSpicy Premium Chicken Burger,622.25
McSpicy Premium Veg Burger,634.71
Piri piri Mc Spicy Veg Burger,517.98
Cheesy Veg Nuggets (6pc),252.29
Cheesy Veg Nuggets (9pc),378.43
Small Coca-Cola,109.56
Medium Coca-Cola,151.36
Large Coca-Cola,217.36
Small Fanta Oragne,129.48
Medium Fanta Orange,178.88
Large Fanta Oragne,256.88
Small Thums-up,99.6
Medium Thums-up,137.6
Large Thums-up,197.6
Small Sprite,119.52
Medium Sprite,165.12
Large Sprite,237.12
Coke Float,138.76
Fanta Float,151.56
Sprite Float,145.16
Coke Zero Can,0.99
Vedica Natural Mineral Water,0.0
Mustard diping sauce,81.18
BBQ diping sauce,54.89
Chilli Sauce,8.07
Piri Piri Mix,17.13
Tomato Ketchup Sachets,11.23
Maple Syrup,86.4
Cheese Slice,51.03
Sweet Corn,45.08
Mixed Fruit Beverage,72.25
Hot Wings 2 pc,267.1
Veg Strips 4pc,280.5
Hot Wings 4 Pc,534.3
Popcorn Reg,272.0
Popcorn Med,374.0
Popcorn Lrg,578.0
Boneless Strips 3pc,358.6
Boneless Strips 6pc,717.2
Veg Biryani,512.4
Classic chicken biryani,586.5
Popcorn Chicken,587.4
"Smoky Chicken
Biryani",509.5
Veg Zinger Burger,623.0
"Chicken
Zinger Burger",563.1
Spicy Zinger,433.2
Classic Veg Crisper,342.2
Spicy Veg Crisper,367.5
Classic Non Veg Crisper,450.6
Spicy Non Veg Crisper,393.7
Tandoori Zinger Burger,999.9
"Mixed Zinger Doubles( 1 ch Zinger+1 Tandoori
Zinger)",1562.9
2 Classic veg Crispers,684.4
2 Classic Chicken Crisper,787.4
Double Down burger,588.7
1 pc,264.7
2 pc,529.4
4 pc,1058.8
6 Pc,1588.2
8 pc Bucket,2117.5
5 Pc Fried Leg,1440.0
10 Pc Fried Leg,2880.0
1 pc,174.9
2 pc,349.7
4 pc,699.4
5 PC,874.3
6 Pc,1049.1
8 pc Bucket,1398.8
"Chick & Share Bucket: Xtra
Large Popcorn",1156.0
"Chick & Share Bucket: 5 pc
Hot & Crispy",1323.5
Chick & Share Bucket: 10 pc Strips,1195.4
"Dips Bucket (12 Pc + 4
Dips)",1434.5
Mingles Bucket,1269.4
"Friendship Bucket DI/TA(3pc HC+3pc HW+3pc Strips +Med
Popcorn)",1022.6
Big Eight ( 4pc smoky+ 4pc HC),1758.2
"Friendship Bucket DL(3pc HC+3pc HW+3pc Strips + Large
Popcorn)",2131.4
"12 for 350
(12 BS + 4
dips) on Wednesdays",1434.5
"10 for 550
(10 pc HC)
on Wednesdays",2382.2
"Triple Treat (4 HC + 4
Smoky + 6 Boneless
Strips)",2475.4
"Super Sixes (4 HC, 6 HW,
8 Strips)",2816.5
"7up Krush
Lime",81.9
"Sparkling
Vanilla Blue)",120.9
"(Virgin
Mojito/",120.4
Regular Fries,224.1
Medium Fries,298.8
Large Fries,403.3
"Pepsi
Regular",141.9
"Mirinda
Regular",181.5
"7 Up
Regular",155.1
"Dew
Regular",161.7
"Dynamite
Spicy Mayo",77.4
"Creamy Veg
Mayo",73.9
Tandoori Masala Mayo,73.8
"Zesty thousand
Island Dip",72.3
"Nashvillle
Dip",30.2
"Nashville Sauce Bottle
-225 g",150.8
"Dynamite Spicy Mayo bottle -200
g",774.0
Pepsi,129.0
7Up,138.0
Mirinda,165.0
Pepsi Pet,215.0
Pepsi Black,0.0
Red Bull,112.5
MARGHERITA REGULAR,138.5
MARGHERITA MEDIUM,184.3
MARGHERITA LARGE,256.4
DOUBLE CHEESE MARGHERITA REGULAR,145.5
DOUBLE CHEESE MARGHERITA MEDIUM,166.7
DOUBLE CHEESE MARGHERITA LARGE,279.3
COUNTRY SPECIAL REGULAR,153.2
COUNTRY SPECIAL MEDIUM,175.5
COUNTRY SPECIAL LARGE,268.1
FARM HOUSE REGULAR,156.5
FARM HOUSE MEDIUM,184.6
FARM HOUSE LARGE,253.5
MEXICAN GREEN WAVE REGULAR,144.5
MEXICAN GREEN WAVE MEDIUM,181.9
MEXICAN GREEN WAVE LARGE,253.4
SPICY TRIPLE TANGO REGULAR,160.1
SPICY TRIPLE TANGO MEDIUM,175.1
SPICY TRIPLE TANGO LARGE,254.8
PEPPY PANEER REGULAR,168.8
PEPPY PANEER MEDIUM,198.4
PEPPY PANEER LARGE,211.9
5 PEPPER REGULAR,190.0
6 PEPPER MEDIUM,161.5
7 PEPPER LARGE,225.4
VEGGIE PARADISE REGULAR,156.7
VEGGIE PARADISE MEDIUM,161.7
VEGGIE PARADISE LARGE,210.9
VEGGIE DELUXE PIZZA REGULAR,169.7
VEGGIE DELUXE PIZZA MEDIUM,175.6
VEGGIE DELUXE PIZZA LARGE,220.5
VEG EXTRAVAGANZA REGULAR,173.3
VEG EXTRAVAGANZA MEDIUM,184.2
VEG EXTRAVAGANZA LARGE,242.6
CLOUD 9 REGULAR,170.1
CLOUD 10 MEDIUM,231.2
CLOUD 11 LARGE,274.2
CHEF'S VEG WONDER REGULAR,167.6
CHEF'S VEG WONDER MEDIUM,178.9
CHEF'S VEG WONDER LARGE,253.4
CHEESE & BBQ CHICKEN REGULAR,141.8
CHEESE & BBQ CHICKEN MEDIUM,180.5
CHEESE & BBQ CHICKEN LARGE,224.6
CHICKEN SALAMI SPECIAL REGULAR,116.7
CHICKEN SALAMI SPECIAL MEDIUM,209.2
CHICKEN SALAMI SPECIAL LARGE,283.7
BBQ CHICKEN REGULAR,152.1
BBQ CHICKEN MEDIUM,185.5
BBQ CHICKEN LARGE,255.4
CHICKEN FIESTA REGULAR,150.1
CHICKEN FIESTA MEDIUM,211.4
CHICKEN FIESTA LARGE,227.7
CHICKEN LOVERS REGULAR,145.0
CHICKEN LOVERS MEDIUM,172.7
CHICKEN LOVERS LARGE,238.0
CHICKEN MEXICANA REGULAR,156.6
CHICKEN MEXICANA MEDIUM,197.5
CHICKEN MEXICANA LARGE,241.4
CHICKEN GOLDEN DELIGHT REGULAR,170.0
CHICKEN GOLDEN DELIGHT MEDIUM,185.2
CHICKEN GOLDEN DELIGHT LARGE,225.1
CHEFS CHICKEN CHOICE REGULAR,163.9
CHEFS CHICKEN CHOICE MEDIUM,194.3
CHEFS CHICKEN CHOICE LARGE,254.7
CHICKEN DOMINATOR REGULAR,112.5
CHICKEN DOMINATOR MEDIUM,226.7
CHICKEN DOMINATOR LARGE,399.0
SEVENTH HEAVEN REGULAR,158.4
SEVENTH HEAVEN MEDIUM,224.4
SEVENTH HEAVEN LARGE,231.9
NON-VEG SUPREME REGULAR,174.5
NON-VEG SUPREME MEDIUM,199.2
NON-VEG SUPREME LARGE,287.9
CHEESE & PEPPERONI REGULAR,189.0
CHEESE & PEPPERONI MEDIUM,210.0
CHEESE & PEPPERONI LARGE,272.3
GARLIC BREADSTICKS ,340.3
STUFFED GARLIC BREADSTICKS ,540.2
PASTA - VEG WHITE ,593.2
TACO MEXICANA - VEG ,321.2
CALZONE POCKETS - VEG ,593.3
ZINGY PARCEL VEG ,620.4
LAVA CAKE ,323.2
CHICKEN WINGS ,352.9
CRISPY CHICKEN STRIPS ,461.2
ZINGY PARCEL CHICKEN ,667.5
TACO MEXICANA - CHICKEN ,322.6
CALZONE POCKETS - CHICKEN ,582.9
